className,description,file,line,method,priority,rule,ruleset,variable
CommandResult,"Package name contains upper case characters","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",1,,3,PackageCase,"Code Style",
CommandResult,"Field success has the same name as a method","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",13,,3,"AvoidFieldNameMatchingMethodName","Error Prone",success
CommandResult,"Avoid excessively long variable names like executionTimeMillis","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",14,,3,LongVariable,"Code Style",executionTimeMillis
CommandResult,"Parameter 'builder' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",21,CommandResult,3,"MethodArgumentCouldBeFinal","Code Style",builder
CommandResult,"Access to field `startTime` on foreign value `builder` (degree 1)","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",28,CommandResult,3,LawOfDemeter,Design,
CommandResult,"Access to field `endTime` on foreign value `builder` (degree 1)","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",29,CommandResult,3,LawOfDemeter,Design,
Builder,"Field commandName has the same name as a method","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",127,,3,"AvoidFieldNameMatchingMethodName","Error Prone",commandName
Builder,"Field success has the same name as a method","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",128,,3,"AvoidFieldNameMatchingMethodName","Error Prone",success
Builder,"Avoid excessively long variable names like executionTimeMillis","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",129,,3,LongVariable,"Code Style",executionTimeMillis
Builder,"Field inputBytes has the same name as a method","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",130,,3,"AvoidFieldNameMatchingMethodName","Error Prone",inputBytes
Builder,"Field outputBytes has the same name as a method","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",131,,3,"AvoidFieldNameMatchingMethodName","Error Prone",outputBytes
Builder,"Field errorMessage has the same name as a method","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",132,,3,"AvoidFieldNameMatchingMethodName","Error Prone",errorMessage
Builder,"Field startTime has the same name as a method","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",133,,3,"AvoidFieldNameMatchingMethodName","Error Prone",startTime
Builder,"Field endTime has the same name as a method","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",134,,3,"AvoidFieldNameMatchingMethodName","Error Prone",endTime
Builder,"Parameter 'commandName' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",142,commandName,3,"MethodArgumentCouldBeFinal","Code Style",commandName
Builder,"Parameter 'success' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",153,success,3,"MethodArgumentCouldBeFinal","Code Style",success
Builder,"Avoid excessively long variable names like executionTimeMillis","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",164,executionTime,3,LongVariable,"Code Style",executionTimeMillis
Builder,"Parameter 'executionTimeMillis' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",164,executionTime,3,"MethodArgumentCouldBeFinal","Code Style",executionTimeMillis
Builder,"Parameter 'inputBytes' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",175,inputBytes,3,"MethodArgumentCouldBeFinal","Code Style",inputBytes
Builder,"Parameter 'outputBytes' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",186,outputBytes,3,"MethodArgumentCouldBeFinal","Code Style",outputBytes
Builder,"Parameter 'errorMessage' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",197,errorMessage,3,"MethodArgumentCouldBeFinal","Code Style",errorMessage
Builder,"Parameter 'startTime' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",208,startTime,3,"MethodArgumentCouldBeFinal","Code Style",startTime
Builder,"Parameter 'endTime' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",219,endTime,3,"MethodArgumentCouldBeFinal","Code Style",endTime
CommandResult,"Parameter 'commandName' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",246,success,3,"MethodArgumentCouldBeFinal","Code Style",commandName
CommandResult,"Parameter 'executionTime' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",247,success,3,"MethodArgumentCouldBeFinal","Code Style",executionTime
CommandResult,"Parameter 'inputBytes' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",248,success,3,"MethodArgumentCouldBeFinal","Code Style",inputBytes
CommandResult,"Parameter 'outputBytes' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",249,success,3,"MethodArgumentCouldBeFinal","Code Style",outputBytes
