File,Line,Rule,Category,Priority,Description,Class,Method,Variable
"streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",1,"PackageCase","Code Style",3,"Package name contains upper case characters","CommandResult","",""
"streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",13,"AvoidFieldNameMatchingMethodName","Error Prone",3,"Field success has the same name as a method","CommandResult","","success"
"streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",14,"LongVariable","Code Style",3,"Avoid excessively long variable names like executionTimeMillis","CommandResult","","executionTimeMillis"
"streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",28,"LawOfDemeter","Design",3,"Access to field `startTime` on foreign value `builder` (degree 1)","CommandResult","CommandResult",""
"streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",29,"LawOfDemeter","Design",3,"Access to field `endTime` on foreign value `builder` (degree 1)","CommandResult","CommandResult",""
"streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",127,"AvoidFieldNameMatchingMethodName","Error Prone",3,"Field commandName has the same name as a method","Builder","","commandName"
"streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",128,"AvoidFieldNameMatchingMethodName","Error Prone",3,"Field success has the same name as a method","Builder","","success"
"streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",129,"LongVariable","Code Style",3,"Avoid excessively long variable names like executionTimeMillis","Builder","","executionTimeMillis"
"streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",130,"AvoidFieldNameMatchingMethodName","Error Prone",3,"Field inputBytes has the same name as a method","Builder","","inputBytes"
"streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",131,"AvoidFieldNameMatchingMethodName","Error Prone",3,"Field outputBytes has the same name as a method","Builder","","outputBytes"
"streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",132,"AvoidFieldNameMatchingMethodName","Error Prone",3,"Field errorMessage has the same name as a method","Builder","","errorMessage"
"streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",133,"AvoidFieldNameMatchingMethodName","Error Prone",3,"Field startTime has the same name as a method","Builder","","startTime"
"streamconverter-core/src/main/java/com/streamConverter/CommandResult.java",134,"AvoidFieldNameMatchingMethodName","Error Prone",3,"Field endTime has the same name as a method","Builder","","endTime"
